offer_id,bundle_type,product_id,product_name,price,product_type,unit_in_mb,validity_in_days,type,units_minutes,units_sms,Data,Data_social,Min,Min_Flex,IDD,Dial,Owner,ui_product_id,ui_msg_id,atl_btl_channel,whitelist,action_family,target_intents,expected_lift_percent,offer_rationale,offer_name,offer_type,campaign_intent,benefit,validity_days,eligible_usage_segment,eligible_rfm_segment,estimated_arpu_lift,estimated_data_lift_gb,estimated_save_rate,cost_per_user,margin_impact,description
USG_1120400,Marhaba World,USG_1120400,Marhaba World 50Minutes to PAKISTAN,1,IDD,0,7,Addon,50,0,0,0,0,0,50,,Omantel,"8,069",782,ATL,yes,cross_sell|premium_bundle,cross_sell|increase_activity,2.9,"IDD bundle, 1.0 OR for 7.0 days",Marhaba World 50Minutes to PAKISTAN,idd,cross_sell,50 minutes,7,low|medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,0.35,0.0,0.0,0.6,positive,"Marhaba World — Marhaba World 50Minutes to PAKISTAN: 50 minutes. IDD bundle, 1.0 OR for 7.0 days."
7856,Data BTL Weekly,7856,10 GB Weekly for only RO 4,4,DATA,"10,240",7,Addon,0,0,10,0,0,0,0,*171*813#,Omantel,"7,856","2,566",BTL,yes,upsell|cross_sell|bundle,increase_arpu|increase_data_usage|increase_activity,7.4,"DATA bundle, 4.0 OR for 7.0 days",10 GB Weekly for only RO 4,data,increase_arpu,10GB data,7,low|medium|high,Loyal Customers|Potential Loyalist|Champions,3.55,3.0,0.0,2.4,positive,"Data BTL Weekly — 10 GB Weekly for only RO 4: 10GB data. DATA bundle, 4.0 OR for 7.0 days."
USG_1120510,Marhaba World,USG_1120510,Marhaba World 14Minutes to YEMEN,1,IDD,0,7,Addon,15,0,0,0,0,0,15,,Omantel,"8,036",770,ATL,yes,cross_sell|premium_bundle,cross_sell|increase_activity,2.9,"IDD bundle, 1.0 OR for 7.0 days",Marhaba World 14Minutes to YEMEN,idd,cross_sell,15 minutes,7,low|medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,0.35,0.0,0.0,0.6,positive,"Marhaba World — Marhaba World 14Minutes to YEMEN: 15 minutes. IDD bundle, 1.0 OR for 7.0 days."
USG_1170810,Hayyak Plus,USG_1170810,Hayyak Plus 6 old,6,COMBO,"3,072",28,Master,100,0,3,1.5,0,100,0,,Omantel,"7,898",707,ATL,yes,upsell|bundle|cross_sell,increase_arpu|upsell,9.6,"COMBO bundle, 6.0 OR for 28.0 days",Hayyak Plus 6 old,combo,increase_arpu,"3GB data, 100 minutes",28,medium|high,Loyal Customers|Potential Loyalist|Champions,6.91,0.9,0.0,3.6,positive,"Hayyak Plus — Hayyak Plus 6 old: 3GB data, 100 minutes. COMBO bundle, 6.0 OR for 28.0 days."
USG_1170530,Hayyak Data,USG_1170530,Hayyak Data only 3 GB 5 RO Monthly,5,DATA,"6,144",28,Master,0,0,6,0,0,0,0,,Omantel,"7,797",726,ATL,yes,upsell|cross_sell|bundle,increase_arpu|increase_data_usage,8.5,"DATA bundle, 5.0 OR for 28.0 days",Hayyak Data only 3 GB 5 RO Monthly,data,increase_arpu,6GB data,28,medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,5.1,1.8,0.0,3.0,positive,"Hayyak Data — Hayyak Data only 3 GB 5 RO Monthly: 6GB data. DATA bundle, 5.0 OR for 28.0 days."
USG_1120380,Marhaba World,USG_1120380,Marhaba World 50Minutes to BANGLADESH,1,IDD,0,7,Addon,50,0,0,0,0,0,50,,Omantel,"8,067",779,ATL,yes,cross_sell|premium_bundle,cross_sell|increase_activity,2.9,"IDD bundle, 1.0 OR for 7.0 days",Marhaba World 50Minutes to BANGLADESH,idd,cross_sell,50 minutes,7,low|medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,0.35,0.0,0.0,0.6,positive,"Marhaba World — Marhaba World 50Minutes to BANGLADESH: 50 minutes. IDD bundle, 1.0 OR for 7.0 days."
8856,Combo BTL Monthly,8856,NBE_Prepaid_RO4_10GB_150MIN_28D,4,COMBO,"10,240",28,,150,0,10,0,150,[NULL],[NULL],*171*808#,Omantel,"8,856","2,685",BTL,yes,bundle|cross_sell|light_nbo,reduce_churn|recommend_best_campaign,7.4,"COMBO bundle, 4.0 OR for 28.0 days",NBE_Prepaid_RO4_10GB_150MIN_28D,combo,reduce_churn,"10GB data, 150 minutes",28,low|medium,Loyal Customers|Potential Loyalist|Champions,3.55,3.0,0.036,2.4,positive,"Combo BTL Monthly — NBE_Prepaid_RO4_10GB_150MIN_28D: 10GB data, 150 minutes. COMBO bundle, 4.0 OR for 28.0 days."
USG_1170860,Hayyak,USG_1170860,Hayyak Long Validity - 12 weeks,15,COMBO,"9,216",84,Master,300,0,9,0,300,0,0,,Omantel,"7,803","1,344",ATL,yes,premium_upsell|bundle|upsell,increase_arpu|upsell,21.5,"COMBO bundle, 15.0 OR for 84.0 days",Hayyak Long Validity - 12 weeks,combo,increase_arpu,"9GB data, 300 minutes",84,high|very_high,Loyal Customers|Potential Loyalist|Champions,38.7,2.7,0.0,9.0,positive,"Hayyak — Hayyak Long Validity - 12 weeks: 9GB data, 300 minutes. COMBO bundle, 15.0 OR for 84.0 days."
USG_1170040,MBB Day night,USG_1170040,MBB Day-night promotion - 5 days,1,DATA,400,30,Addon,0,0,200MB Day+ 200 Night,0,0,0,0,,Omantel,"7,809",739,ATL,yes,light_nbo|gentle_nbo|reactivation,increase_data_usage|reactivate_inactive,4.1,"DATA bundle, 1.0 OR for 30.0 days",MBB Day-night promotion - 5 days,data,increase_data_usage,400MB data,30,low|medium|high,Loyal Customers|Potential Loyalist|Champions,0.49,0.12,0.024,0.6,neutral,"MBB Day night — MBB Day-night promotion - 5 days: 400MB data. DATA bundle, 1.0 OR for 30.0 days."
7848,Combo BTL Monthly,7848,RO5 - 20GB and 150 Local Minutes,5,COMBO,"20,480",28,Addon,150,0,20,0,150,0,0,*171*815#,Omantel,"7,848","2,558",BTL,yes,upsell|bundle|cross_sell,recommend_best_campaign,8.5,"COMBO bundle, 5.0 OR for 28.0 days",RO5 - 20GB and 150 Local Minutes,combo,recommend_best_campaign,"20GB data, 150 minutes",28,medium|high,Loyal Customers|Potential Loyalist|Champions,5.1,6.0,0.0,3.0,positive,"Combo BTL Monthly — RO5 - 20GB and 150 Local Minutes: 20GB data, 150 minutes. COMBO bundle, 5.0 OR for 28.0 days."
USG_1170090,MBB Day night,USG_1170090,MBB Day night promotion - 20 days,10,DATA,"6,144",30,Addon,0,0,3GB Day+ 3GB Night,0,0,0,0,,Omantel,"7,816",738,ATL,yes,premium_upsell|upsell|bundle,increase_arpu|increase_data_usage,14.0,"DATA bundle, 10.0 OR for 30.0 days",MBB Day night promotion - 20 days,data,increase_arpu,6GB data,30,medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,16.8,1.8,0.0,6.0,positive,"MBB Day night — MBB Day night promotion - 20 days: 6GB data. DATA bundle, 10.0 OR for 30.0 days."
8861,Combo BTL Monthly,8861,NBE_Prepaid_RO12_30GB_500MIN_28D,12,COMBO,"30,720",28,,500,0,30,0,500,[NULL],[NULL],*171*803#,Omantel,"8,861","2,680",BTL,yes,premium_upsell|bundle|upsell,increase_arpu|upsell,17.8,"COMBO bundle, 12.0 OR for 28.0 days",NBE_Prepaid_RO12_30GB_500MIN_28D,combo,increase_arpu,"30GB data, 500 minutes",28,high|very_high,Loyal Customers|Potential Loyalist|Champions,25.63,9.0,0.0,7.2,positive,"Combo BTL Monthly — NBE_Prepaid_RO12_30GB_500MIN_28D: 30GB data, 500 minutes. COMBO bundle, 12.0 OR for 28.0 days."
USG_1140750,Data Loan,USG_1140750,Data Loan - 50MB - 1 Day,0.2,DATA,512,1,Addon,0,0,0.5,0,0,0,0,,Omantel,776,ATL,yes,offline,reactivation|light_nbo,increase_data_usage|reduce_churn|recommend_best_campaign|reactivate_inactive|increase_activity,3.2,"DATA bundle, 0.2 OR for 1.0 days",Data Loan - 50MB - 1 Day,data,increase_data_usage,512MB data,1,low|medium|high,Loyal Customers|Potential Loyalist|Champions,0.08,0.15,0.021,0.12,neutral,"Data Loan — Data Loan - 50MB - 1 Day: 512MB data. DATA bundle, 0.2 OR for 1.0 days."
USG_1121390,UAE IDD,USG_1121390,UAE - 100 Minutes - Weekly Pack,1,IDD,0,7,Addon,100,0,0,0,0,0,100,,Omantel,"8,053",793,ATL,yes,cross_sell|premium_bundle,cross_sell|increase_activity,2.9,"IDD bundle, 1.0 OR for 7.0 days",UAE - 100 Minutes - Weekly Pack,idd,cross_sell,100 minutes,7,low|medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,0.35,0.0,0.0,0.6,positive,"UAE IDD — UAE - 100 Minutes - Weekly Pack: 100 minutes. IDD bundle, 1.0 OR for 7.0 days."
